Basin,Category Group,Threshold,Mean,Std Dev,Median,Min,Max,Burst Count,Timebin Count,Burst Percentage,Basin-Category Effective Threshold (Mean-Based) 2 SD,Basin-Category Effective Threshold (Median-Based) 2 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 2 SD,Basin-Category Effective Threshold Bursts (Median-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 2 SD,Basin-Category Effective Threshold (Mean-Based) 1.5 SD,Basin-Category Effective Threshold (Median-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Median-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 1.5 SD
ATL,0-2,mad1,7.120985087052685,1.970386425913521,7.5010897976497075,0.6931471805599453,11.56672362959945,111,7879,1.41,8.040780854707302,8.219830172430502,2,0.03,1,0.01,7.304473521582356,7.4835228393055555,21,0.27,14,0.18
ATL,0-2,mad2,8.286975789524462,2.2946237880056883,8.626454377364105,0.6931471805599453,13.39042514670398,58,7879,0.74,7.69954485252663,7.705579143097474,8,0.1,8,0.1,6.986157632732166,6.992191923303009,63,0.8,61,0.77
ATL,0-2,iqr1,6.206470316135532,1.602419218717651,6.490419998303486,1.647918433002164,9.774168688339287,159,7879,2.02,7.298354478005386,6.658056965994618,22,0.28,102,1.29,6.450199939972467,5.809902427961699,150,1.9,360,4.57
ATL,0-2,iqr2,7.424061850351953,1.933748603011968,7.710665519770833,1.886611246112719,11.581476190288324,41,7879,0.52,7.5541271077018095,6.738297857109266,11,0.14,89,1.13,6.615521145985826,5.799691895393283,109,1.38,363,4.61
ATL,0-2,logn1,5.636794712201101,1.2134633086965072,5.963809594595692,1.6305748986668251,8.659291347035301,230,7879,2.92,7.267269218368998,7.077135353401009,23,0.29,44,0.56,6.719877850670507,6.529743985702518,91,1.15,131,1.66
ATL,0-2,logn2,7.130890186373163,1.523054193792244,7.572205636164768,1.9695589531698323,10.852507824931196,11,7879,0.14,7.356446841397308,7.173378914236264,17,0.22,33,0.42,6.869867578335718,6.686799651174674,72,0.91,98,1.24
ATL,1-2,mad1,6.624038789871167,1.8565169218065245,6.87935580446044,0.6931471805599453,11.56672362959945,39,2969,1.31,7.639433189159919,7.918122774401352,0,0.0,0,0.0,6.937730711022006,7.21642029626344,10,0.34,5,0.17
ATL,1-2,mad2,7.704062055089455,2.163945098471893,7.977968093128549,0.6931471805599453,13.39042514670398,24,2969,0.81,7.314387919056667,7.445163385494519,3,0.1,1,0.03,6.666104638662942,6.796880105100794,15,0.51,13,0.44
ATL,1-2,iqr1,5.762948450807936,1.5439267592261898,5.9589413554024215,1.647918433002164,9.774168688339287,59,2969,1.99,5.530322754935106,5.3820087623009,75,2.53,92,3.1,4.965220008769144,4.816906016134938,165,5.56,194,6.53
ATL,1-2,iqr2,6.883465330787263,1.8670082537655783,7.046317216144503,1.886611246112719,11.581476190288324,15,2969,0.51,4.785560025730157,4.571776601664732,204,6.87,253,8.52,4.388584377875308,4.174800953809882,303,10.21,367,12.36
ATL,1-2,logn1,5.32450948090206,1.1826461545712807,5.2785188287850495,1.6305748986668251,8.659291347035301,82,2969,2.76,6.969284510700668,6.956185976961868,10,0.34,10,0.34,6.452130487111962,6.439031953373162,20,0.67,20,0.67
ATL,1-2,logn2,6.7334562394629005,1.4925868897318713,6.685786236170838,1.9695589531698323,10.852507824931196,5,2969,0.17,5.640286294332378,5.396087683979244,63,2.12,92,3.1,5.417555906636142,5.173357296283008,90,3.03,120,4.04
ATL,3-5,mad1,5.999954268661988,1.9461028949167165,6.002758553726741,0.6931471805599453,11.56672362959945,13,1564,0.83,5.836644953871165,6.119717727733404,11,0.7,4,0.26,5.3464362927777325,5.6295090666399705,25,1.6,17,1.09
